block_id,trial_id,stimCat,stimId,SRP,trialType,Rw,response
,,1,1.0,20.0,0,1,
,,1,1.0,20.0,0,1,
,,1,1.0,20.0,0,1,
,,1,1.0,20.0,0,1,
,,1,1.0,20.0,0,1,
,,1,1.0,20.0,0,1,
,,1,1.0,20.0,0,10,
,,1,1.0,20.0,0,10,
,,1,1.0,20.0,0,10,
,,1,1.0,20.0,0,10,
,,1,1.0,20.0,0,10,
,,1,1.0,20.0,0,10,
,,1,1.0,20.0,0,10,
,,1,1.0,20.0,0,10,
,,1,1.0,20.0,0,10,
,,1,1.0,20.0,0,10,
,,1,1.0,20.0,0,10,
,,1,1.0,20.0,0,10,
,,1,1.0,20.0,0,10,
,,1,1.0,20.0,0,10,
,,1,1.0,20.0,0,10,
,,1,1.0,20.0,0,10,
,,1,1.0,20.0,0,10,
,,1,1.0,20.0,0,10,
,,1,1.0,20.0,0,10,
,,1,1.0,20.0,0,10,
,,1,1.0,20.0,0,10,
,,1,1.0,20.0,0,10,
,,1,1.0,20.0,0,10,
,,1,1.0,20.0,0,10,
,,1,1.0,20.0,1,10,
,,1,1.0,20.0,1,10,
,,1,1.0,20.0,1,10,
,,1,1.0,20.0,1,10,
,,1,1.0,20.0,1,10,
,,1,1.0,20.0,1,10,
,,1,1.0,20.0,1,1,
,,1,1.0,20.0,1,1,
,,1,1.0,20.0,1,1,
,,1,1.0,20.0,1,1,
,,1,1.0,20.0,1,1,
,,1,1.0,20.0,1,1,
,,1,1.0,20.0,1,1,
,,1,1.0,20.0,1,1,
,,1,1.0,20.0,1,1,
,,1,1.0,20.0,1,1,
,,1,1.0,20.0,1,1,
,,1,1.0,20.0,1,1,
,,1,1.0,20.0,1,1,
,,1,1.0,20.0,1,1,
,,1,1.0,20.0,1,1,
,,1,1.0,20.0,1,1,
,,1,1.0,20.0,1,1,
,,1,1.0,20.0,1,1,
,,1,1.0,20.0,1,1,
,,1,1.0,20.0,1,1,
,,1,1.0,20.0,1,1,
,,1,1.0,20.0,1,1,
,,1,1.0,20.0,1,1,
,,1,1.0,20.0,1,1,
,,2,4.0,20.0,0,1,
,,2,4.0,20.0,0,1,
,,2,4.0,20.0,0,1,
,,2,4.0,20.0,0,1,
,,2,4.0,20.0,0,1,
,,2,4.0,20.0,0,1,
,,2,4.0,20.0,0,10,
,,2,4.0,20.0,0,10,
,,2,4.0,20.0,0,10,
,,2,4.0,20.0,0,10,
,,2,4.0,20.0,0,10,
,,2,4.0,20.0,0,10,
,,2,4.0,20.0,0,10,
,,2,4.0,20.0,0,10,
,,2,4.0,20.0,0,10,
,,2,4.0,20.0,0,10,
,,2,4.0,20.0,0,10,
,,2,4.0,20.0,0,10,
,,2,4.0,20.0,0,10,
,,2,4.0,20.0,0,10,
,,2,4.0,20.0,0,10,
,,2,4.0,20.0,0,10,
,,2,4.0,20.0,0,10,
,,2,4.0,20.0,0,10,
,,2,4.0,20.0,0,10,
,,2,4.0,20.0,0,10,
,,2,4.0,20.0,0,10,
,,2,4.0,20.0,0,10,
,,2,4.0,20.0,0,10,
,,2,4.0,20.0,0,10,
,,2,4.0,20.0,1,10,
,,2,4.0,20.0,1,10,
,,2,4.0,20.0,1,10,
,,2,4.0,20.0,1,10,
,,2,4.0,20.0,1,10,
,,2,4.0,20.0,1,10,
,,2,4.0,20.0,1,1,
,,2,4.0,20.0,1,1,
,,2,4.0,20.0,1,1,
,,2,4.0,20.0,1,1,
,,2,4.0,20.0,1,1,
,,2,4.0,20.0,1,1,
,,2,4.0,20.0,1,1,
,,2,4.0,20.0,1,1,
,,2,4.0,20.0,1,1,
,,2,4.0,20.0,1,1,
,,2,4.0,20.0,1,1,
,,2,4.0,20.0,1,1,
,,2,4.0,20.0,1,1,
,,2,4.0,20.0,1,1,
,,2,4.0,20.0,1,1,
,,2,4.0,20.0,1,1,
,,2,4.0,20.0,1,1,
,,2,4.0,20.0,1,1,
,,2,4.0,20.0,1,1,
,,2,4.0,20.0,1,1,
,,2,4.0,20.0,1,1,
,,2,4.0,20.0,1,1,
,,2,4.0,20.0,1,1,
,,2,4.0,20.0,1,1,
,,3,4.0,20.0,0,1,
,,3,4.0,20.0,0,1,
,,3,4.0,20.0,0,1,
,,3,4.0,20.0,0,1,
,,3,4.0,20.0,0,1,
,,3,4.0,20.0,0,1,
,,3,4.0,20.0,0,10,
,,3,4.0,20.0,0,10,
,,3,4.0,20.0,0,10,
,,3,4.0,20.0,0,10,
,,3,4.0,20.0,0,10,
,,3,4.0,20.0,0,10,
,,3,4.0,20.0,0,10,
,,3,4.0,20.0,0,10,
,,3,4.0,20.0,0,10,
,,3,4.0,20.0,0,10,
,,3,4.0,20.0,0,10,
,,3,4.0,20.0,0,10,
,,3,4.0,20.0,0,10,
,,3,4.0,20.0,0,10,
,,3,4.0,20.0,0,10,
,,3,4.0,20.0,0,10,
,,3,4.0,20.0,0,10,
,,3,4.0,20.0,0,10,
,,3,4.0,20.0,0,10,
,,3,4.0,20.0,0,10,
,,3,4.0,20.0,0,10,
,,3,4.0,20.0,0,10,
,,3,4.0,20.0,0,10,
,,3,4.0,20.0,0,10,
,,3,4.0,20.0,1,10,
,,3,4.0,20.0,1,10,
,,3,4.0,20.0,1,10,
,,3,4.0,20.0,1,10,
,,3,4.0,20.0,1,10,
,,3,4.0,20.0,1,10,
,,3,4.0,20.0,1,1,
,,3,4.0,20.0,1,1,
,,3,4.0,20.0,1,1,
,,3,4.0,20.0,1,1,
,,3,4.0,20.0,1,1,
,,3,4.0,20.0,1,1,
,,3,4.0,20.0,1,1,
,,3,4.0,20.0,1,1,
,,3,4.0,20.0,1,1,
,,3,4.0,20.0,1,1,
,,3,4.0,20.0,1,1,
,,3,4.0,20.0,1,1,
,,3,4.0,20.0,1,1,
,,3,4.0,20.0,1,1,
,,3,4.0,20.0,1,1,
,,3,4.0,20.0,1,1,
,,3,4.0,20.0,1,1,
,,3,4.0,20.0,1,1,
,,3,4.0,20.0,1,1,
,,3,4.0,20.0,1,1,
,,3,4.0,20.0,1,1,
,,3,4.0,20.0,1,1,
,,3,4.0,20.0,1,1,
,,3,4.0,20.0,1,1,
,,4,4.0,20.0,0,1,
,,4,4.0,20.0,0,1,
,,4,4.0,20.0,0,1,
,,4,4.0,20.0,0,1,
,,4,4.0,20.0,0,1,
,,4,4.0,20.0,0,1,
,,4,4.0,20.0,0,10,
,,4,4.0,20.0,0,10,
,,4,4.0,20.0,0,10,
,,4,4.0,20.0,0,10,
,,4,4.0,20.0,0,10,
,,4,4.0,20.0,0,10,
,,4,4.0,20.0,0,10,
,,4,4.0,20.0,0,10,
,,4,4.0,20.0,0,10,
,,4,4.0,20.0,0,10,
,,4,4.0,20.0,0,10,
,,4,4.0,20.0,0,10,
,,4,4.0,20.0,0,10,
,,4,4.0,20.0,0,10,
,,4,4.0,20.0,0,10,
,,4,4.0,20.0,0,10,
,,4,4.0,20.0,0,10,
,,4,4.0,20.0,0,10,
,,4,4.0,20.0,0,10,
,,4,4.0,20.0,0,10,
,,4,4.0,20.0,0,10,
,,4,4.0,20.0,0,10,
,,4,4.0,20.0,0,10,
,,4,4.0,20.0,0,10,
,,4,4.0,20.0,1,10,
,,4,4.0,20.0,1,10,
,,4,4.0,20.0,1,10,
,,4,4.0,20.0,1,10,
,,4,4.0,20.0,1,10,
,,4,4.0,20.0,1,10,
,,4,4.0,20.0,1,1,
,,4,4.0,20.0,1,1,
,,4,4.0,20.0,1,1,
,,4,4.0,20.0,1,1,
,,4,4.0,20.0,1,1,
,,4,4.0,20.0,1,1,
,,4,4.0,20.0,1,1,
,,4,4.0,20.0,1,1,
,,4,4.0,20.0,1,1,
,,4,4.0,20.0,1,1,
,,4,4.0,20.0,1,1,
,,4,4.0,20.0,1,1,
,,4,4.0,20.0,1,1,
,,4,4.0,20.0,1,1,
,,4,4.0,20.0,1,1,
,,4,4.0,20.0,1,1,
,,4,4.0,20.0,1,1,
,,4,4.0,20.0,1,1,
,,4,4.0,20.0,1,1,
,,4,4.0,20.0,1,1,
,,4,4.0,20.0,1,1,
,,4,4.0,20.0,1,1,
