block_id,trial_id,stimCat,stimId,SRP,trialType,Rw,response
,,1,3,20.0,0,1,
,,1,3,20.0,0,1,
,,1,3,20.0,0,1,
,,1,3,20.0,0,1,
,,1,3,20.0,0,1,
,,1,3,20.0,0,1,
,,1,3,20.0,0,10,
,,1,3,20.0,0,10,
,,1,3,20.0,0,10,
,,1,3,20.0,0,10,
,,1,3,20.0,0,10,
,,1,3,20.0,0,10,
,,1,3,20.0,0,10,
,,1,3,20.0,0,10,
,,1,3,20.0,0,10,
,,1,3,20.0,0,10,
,,1,3,20.0,0,10,
,,1,3,20.0,0,10,
,,1,3,20.0,0,10,
,,1,3,20.0,0,10,
,,1,3,20.0,0,10,
,,1,3,20.0,0,10,
,,1,3,20.0,0,10,
,,1,3,20.0,0,10,
,,1,3,20.0,0,10,
,,1,3,20.0,0,10,
,,1,3,20.0,0,10,
,,1,3,20.0,0,10,
,,1,3,20.0,0,10,
,,1,3,20.0,0,10,
,,1,3,20.0,1,10,
,,1,3,20.0,1,10,
,,1,3,20.0,1,10,
,,1,3,20.0,1,10,
,,1,3,20.0,1,10,
,,1,3,20.0,1,10,
,,1,3,20.0,1,1,
,,1,3,20.0,1,1,
,,1,3,20.0,1,1,
,,1,3,20.0,1,1,
,,1,3,20.0,1,1,
,,1,3,20.0,1,1,
,,1,3,20.0,1,1,
,,1,3,20.0,1,1,
,,1,3,20.0,1,1,
,,1,3,20.0,1,1,
,,1,3,20.0,1,1,
,,1,3,20.0,1,1,
,,1,3,20.0,1,1,
,,1,3,20.0,1,1,
,,1,3,20.0,1,1,
,,1,3,20.0,1,1,
,,1,3,20.0,1,1,
,,1,3,20.0,1,1,
,,1,3,20.0,1,1,
,,1,3,20.0,1,1,
,,1,3,20.0,1,1,
,,1,3,20.0,1,1,
,,1,3,20.0,1,1,
,,1,3,20.0,1,1,
,,2,1,20.0,0,1,
,,2,1,20.0,0,1,
,,2,1,20.0,0,1,
,,2,1,20.0,0,1,
,,2,1,20.0,0,1,
,,2,1,20.0,0,1,
,,2,1,20.0,0,10,
,,2,1,20.0,0,10,
,,2,1,20.0,0,10,
,,2,1,20.0,0,10,
,,2,1,20.0,0,10,
,,2,1,20.0,0,10,
,,2,1,20.0,0,10,
,,2,1,20.0,0,10,
,,2,1,20.0,0,10,
,,2,1,20.0,0,10,
,,2,1,20.0,0,10,
,,2,1,20.0,0,10,
,,2,1,20.0,0,10,
,,2,1,20.0,0,10,
,,2,1,20.0,0,10,
,,2,1,20.0,0,10,
,,2,1,20.0,0,10,
,,2,1,20.0,0,10,
,,2,1,20.0,0,10,
,,2,1,20.0,0,10,
,,2,1,20.0,0,10,
,,2,1,20.0,0,10,
,,2,1,20.0,0,10,
,,2,1,20.0,0,10,
,,2,1,20.0,1,10,
,,2,1,20.0,1,10,
,,2,1,20.0,1,10,
,,2,1,20.0,1,10,
,,2,1,20.0,1,10,
,,2,1,20.0,1,10,
,,2,1,20.0,1,1,
,,2,1,20.0,1,1,
,,2,1,20.0,1,1,
,,2,1,20.0,1,1,
,,2,1,20.0,1,1,
,,2,1,20.0,1,1,
,,2,1,20.0,1,1,
,,2,1,20.0,1,1,
,,2,1,20.0,1,1,
,,2,1,20.0,1,1,
,,2,1,20.0,1,1,
,,2,1,20.0,1,1,
,,2,1,20.0,1,1,
,,2,1,20.0,1,1,
,,2,1,20.0,1,1,
,,2,1,20.0,1,1,
,,2,1,20.0,1,1,
,,2,1,20.0,1,1,
,,2,1,20.0,1,1,
,,2,1,20.0,1,1,
,,2,1,20.0,1,1,
,,2,1,20.0,1,1,
,,2,1,20.0,1,1,
,,2,1,20.0,1,1,
,,3,1,20.0,0,1,
,,3,1,20.0,0,1,
,,3,1,20.0,0,1,
,,3,1,20.0,0,1,
,,3,1,20.0,0,1,
,,3,1,20.0,0,1,
,,3,1,20.0,0,10,
,,3,1,20.0,0,10,
,,3,1,20.0,0,10,
,,3,1,20.0,0,10,
,,3,1,20.0,0,10,
,,3,1,20.0,0,10,
,,3,1,20.0,0,10,
,,3,1,20.0,0,10,
,,3,1,20.0,0,10,
,,3,1,20.0,0,10,
,,3,1,20.0,0,10,
,,3,1,20.0,0,10,
,,3,1,20.0,0,10,
,,3,1,20.0,0,10,
,,3,1,20.0,0,10,
,,3,1,20.0,0,10,
,,3,1,20.0,0,10,
,,3,1,20.0,0,10,
,,3,1,20.0,0,10,
,,3,1,20.0,0,10,
,,3,1,20.0,0,10,
,,3,1,20.0,0,10,
,,3,1,20.0,0,10,
,,3,1,20.0,0,10,
,,3,1,20.0,1,10,
,,3,1,20.0,1,10,
,,3,1,20.0,1,10,
,,3,1,20.0,1,10,
,,3,1,20.0,1,10,
,,3,1,20.0,1,10,
,,3,1,20.0,1,1,
,,3,1,20.0,1,1,
,,3,1,20.0,1,1,
,,3,1,20.0,1,1,
,,3,1,20.0,1,1,
,,3,1,20.0,1,1,
,,3,1,20.0,1,1,
,,3,1,20.0,1,1,
,,3,1,20.0,1,1,
,,3,1,20.0,1,1,
,,3,1,20.0,1,1,
,,3,1,20.0,1,1,
,,3,1,20.0,1,1,
,,3,1,20.0,1,1,
,,3,1,20.0,1,1,
,,3,1,20.0,1,1,
,,3,1,20.0,1,1,
,,3,1,20.0,1,1,
,,3,1,20.0,1,1,
,,3,1,20.0,1,1,
,,3,1,20.0,1,1,
,,3,1,20.0,1,1,
,,3,1,20.0,1,1,
,,3,1,20.0,1,1,
,,4,1,20.0,0,1,
,,4,1,20.0,0,1,
,,4,1,20.0,0,1,
,,4,1,20.0,0,1,
,,4,1,20.0,0,1,
,,4,1,20.0,0,1,
,,4,1,20.0,0,10,
,,4,1,20.0,0,10,
,,4,1,20.0,0,10,
,,4,1,20.0,0,10,
,,4,1,20.0,0,10,
,,4,1,20.0,0,10,
,,4,1,20.0,0,10,
,,4,1,20.0,0,10,
,,4,1,20.0,0,10,
,,4,1,20.0,0,10,
,,4,1,20.0,0,10,
,,4,1,20.0,0,10,
,,4,1,20.0,0,10,
,,4,1,20.0,0,10,
,,4,1,20.0,0,10,
,,4,1,20.0,0,10,
,,4,1,20.0,0,10,
,,4,1,20.0,0,10,
,,4,1,20.0,0,10,
,,4,1,20.0,0,10,
,,4,1,20.0,0,10,
,,4,1,20.0,0,10,
,,4,1,20.0,0,10,
,,4,1,20.0,0,10,
,,4,1,20.0,1,10,
,,4,1,20.0,1,10,
,,4,1,20.0,1,10,
,,4,1,20.0,1,10,
,,4,1,20.0,1,10,
,,4,1,20.0,1,10,
,,4,1,20.0,1,1,
,,4,1,20.0,1,1,
,,4,1,20.0,1,1,
,,4,1,20.0,1,1,
,,4,1,20.0,1,1,
,,4,1,20.0,1,1,
,,4,1,20.0,1,1,
,,4,1,20.0,1,1,
,,4,1,20.0,1,1,
,,4,1,20.0,1,1,
,,4,1,20.0,1,1,
,,4,1,20.0,1,1,
,,4,1,20.0,1,1,
,,4,1,20.0,1,1,
,,4,1,20.0,1,1,
,,4,1,20.0,1,1,
,,4,1,20.0,1,1,
,,4,1,20.0,1,1,
,,4,1,20.0,1,1,
,,4,1,20.0,1,1,
,,4,1,20.0,1,1,
,,4,1,20.0,1,1,
,,4,1,20.0,1,1,
,,4,1,20.0,1,1,
