block_id,trial_id,stimCat,stimId,SRP,trialType,Rw,response
,,1,6.0,20.0,0,1,
,,1,6.0,20.0,0,1,
,,1,6.0,20.0,0,1,
,,1,6.0,20.0,0,1,
,,1,6.0,20.0,0,1,
,,1,6.0,20.0,0,1,
,,1,6.0,20.0,0,10,
,,1,6.0,20.0,0,10,
,,1,6.0,20.0,0,10,
,,1,6.0,20.0,0,10,
,,1,6.0,20.0,0,10,
,,1,6.0,20.0,0,10,
,,1,6.0,20.0,0,10,
,,1,6.0,20.0,0,10,
,,1,6.0,20.0,0,10,
,,1,6.0,20.0,0,10,
,,1,6.0,20.0,0,10,
,,1,6.0,20.0,0,10,
,,1,6.0,20.0,0,10,
,,1,6.0,20.0,0,10,
,,1,6.0,20.0,0,10,
,,1,6.0,20.0,0,10,
,,1,6.0,20.0,0,10,
,,1,6.0,20.0,0,10,
,,1,6.0,20.0,0,10,
,,1,6.0,20.0,0,10,
,,1,6.0,20.0,0,10,
,,1,6.0,20.0,0,10,
,,1,6.0,20.0,0,10,
,,1,6.0,20.0,0,10,
,,1,6.0,20.0,1,10,
,,1,6.0,20.0,1,10,
,,1,6.0,20.0,1,10,
,,1,6.0,20.0,1,10,
,,1,6.0,20.0,1,10,
,,1,6.0,20.0,1,10,
,,1,6.0,20.0,1,1,
,,1,6.0,20.0,1,1,
,,1,6.0,20.0,1,1,
,,1,6.0,20.0,1,1,
,,1,6.0,20.0,1,1,
,,1,6.0,20.0,1,1,
,,1,6.0,20.0,1,1,
,,1,6.0,20.0,1,1,
,,1,6.0,20.0,1,1,
,,1,6.0,20.0,1,1,
,,1,6.0,20.0,1,1,
,,1,6.0,20.0,1,1,
,,1,6.0,20.0,1,1,
,,1,6.0,20.0,1,1,
,,1,6.0,20.0,1,1,
,,1,6.0,20.0,1,1,
,,1,6.0,20.0,1,1,
,,1,6.0,20.0,1,1,
,,1,6.0,20.0,1,1,
,,1,6.0,20.0,1,1,
,,1,6.0,20.0,1,1,
,,1,6.0,20.0,1,1,
,,1,6.0,20.0,1,1,
,,1,6.0,20.0,1,1,
,,2,1.0,20.0,0,1,
,,2,1.0,20.0,0,1,
,,2,1.0,20.0,0,1,
,,2,1.0,20.0,0,1,
,,2,1.0,20.0,0,1,
,,2,1.0,20.0,0,1,
,,2,1.0,20.0,0,10,
,,2,1.0,20.0,0,10,
,,2,1.0,20.0,0,10,
,,2,1.0,20.0,0,10,
