,bid,congruency,corrResp,face_path,fid,nid,sbjCorr,sbjRT,sbjResp,tid
0,1,incongruent,b,./images/Cruise.jpg,Cruise,Clooney,correct,0.869122438976774,b,1
1,1,congruent,b,./images/Cruise.jpg,Cruise,Cruise,correct,0.6153043000085745,b,2
2,1,incongruent,b,./images/Cruise.jpg,Cruise,Damon,correct,0.6334295309789013,b,3
3,1,incongruent,n,./images/Damon.jpg,Damon,Clooney,correct,0.6679033020045608,n,4
4,1,congruent,v,./images/Clooney.jpg,Clooney,Clooney,correct,0.5032748160010669,v,5
5,1,incongruent,v,./images/Clooney.jpg,Clooney,Damon,correct,0.5522386080119759,v,6
6,1,congruent,n,./images/Damon.jpg,Damon,Damon,correct,0.8014022199786268,n,7
7,1,incongruent,v,./images/Clooney.jpg,Clooney,Cruise,correct,0.79008973899181,v,8
8,1,incongruent,n,./images/Damon.jpg,Damon,Cruise,correct,0.6211206389998551,n,9
0,2,congruent,v,./images/Clooney.jpg,Clooney,Clooney,correct,0.869122438976774,b,1
1,2,incongruent,n,./images/Damon.jpg,Damon,Clooney,correct,0.6153043000085745,b,2
2,2,incongruent,v,./images/Clooney.jpg,Clooney,Cruise,correct,0.6334295309789013,b,3
3,2,incongruent,n,./images/Damon.jpg,Damon,Cruise,correct,0.6679033020045608,n,4
4,2,congruent,b,./images/Cruise.jpg,Cruise,Cruise,correct,0.5032748160010669,v,5
5,2,incongruent,b,./images/Cruise.jpg,Cruise,Damon,correct,0.5522386080119759,v,6
6,2,incongruent,b,./images/Cruise.jpg,Cruise,Clooney,correct,0.8014022199786268,n,7
7,2,congruent,n,./images/Damon.jpg,Damon,Damon,correct,0.79008973899181,v,8
8,2,incongruent,v,./images/Clooney.jpg,Clooney,Damon,correct,0.6211206389998551,n,9
