,bid,congruency,corrResp,face_path,fid,nid,sbjCorr,sbjRT,sbjResp,tid
0,1,incongruent,b,./images/Clooney.jpg,Clooney,Cruise,,-1,,1
1,1,congruent,v,./images/Cruise.jpg,Cruise,Cruise,incorrect,0.2886359599942807,b,2
2,1,incongruent,v,./images/Cruise.jpg,Cruise,Clooney,,-1,,3
3,1,incongruent,n,./images/Damon.jpg,Damon,Cruise,correct,0.698948660021415,b,4
4,1,incongruent,v,./images/Cruise.jpg,Cruise,Damon,correct,0.3192099360167049,b,5
5,1,congruent,b,./images/Clooney.jpg,Clooney,Clooney,incorrect,0.34147548000328243,b,6
6,1,incongruent,n,./images/Damon.jpg,Damon,Clooney,correct,0.3489562110044062,b,7
7,1,congruent,n,./images/Damon.jpg,Damon,Damon,incorrect,0.1080566460150294,b,8
8,1,incongruent,b,./images/Clooney.jpg,Clooney,Damon,incorrect,0.35256952900090255,b,9
0,2,incongruent,v,./images/Cruise.jpg,Cruise,Clooney,,-1,,1
1,2,congruent,n,./images/Damon.jpg,Damon,Damon,incorrect,0.2886359599942807,b,2
2,2,congruent,v,./images/Cruise.jpg,Cruise,Cruise,,-1,,3
3,2,incongruent,n,./images/Damon.jpg,Damon,Clooney,correct,0.698948660021415,b,4
4,2,incongruent,b,./images/Clooney.jpg,Clooney,Cruise,correct,0.3192099360167049,b,5
5,2,incongruent,n,./images/Damon.jpg,Damon,Cruise,incorrect,0.34147548000328243,b,6
6,2,incongruent,b,./images/Clooney.jpg,Clooney,Damon,correct,0.3489562110044062,b,7
7,2,congruent,b,./images/Clooney.jpg,Clooney,Clooney,incorrect,0.1080566460150294,b,8
8,2,incongruent,v,./images/Cruise.jpg,Cruise,Damon,incorrect,0.35256952900090255,b,9
0,3,congruent,n,./images/Damon.jpg,Damon,Damon,,-1,,1
1,3,congruent,b,./images/Clooney.jpg,Clooney,Clooney,incorrect,0.2886359599942807,b,2
2,3,incongruent,v,./images/Cruise.jpg,Cruise,Clooney,,-1,,3
3,3,incongruent,n,./images/Damon.jpg,Damon,Cruise,correct,0.698948660021415,b,4
4,3,incongruent,b,./images/Clooney.jpg,Clooney,Damon,correct,0.3192099360167049,b,5
5,3,incongruent,n,./images/Damon.jpg,Damon,Clooney,incorrect,0.34147548000328243,b,6
6,3,congruent,v,./images/Cruise.jpg,Cruise,Cruise,correct,0.3489562110044062,b,7
7,3,incongruent,v,./images/Cruise.jpg,Cruise,Damon,incorrect,0.1080566460150294,b,8
8,3,incongruent,b,./images/Clooney.jpg,Clooney,Cruise,incorrect,0.35256952900090255,b,9
0,4,incongruent,n,./images/Damon.jpg,Damon,Clooney,,-1,,1
1,4,incongruent,v,./images/Cruise.jpg,Cruise,Clooney,incorrect,0.2886359599942807,b,2
2,4,congruent,b,./images/Clooney.jpg,Clooney,Clooney,,-1,,3
3,4,congruent,n,./images/Damon.jpg,Damon,Damon,correct,0.698948660021415,b,4
4,4,incongruent,b,./images/Clooney.jpg,Clooney,Cruise,correct,0.3192099360167049,b,5
5,4,congruent,v,./images/Cruise.jpg,Cruise,Cruise,incorrect,0.34147548000328243,b,6
6,4,incongruent,b,./images/Clooney.jpg,Clooney,Damon,correct,0.3489562110044062,b,7
7,4,incongruent,v,./images/Cruise.jpg,Cruise,Damon,incorrect,0.1080566460150294,b,8
8,4,incongruent,n,./images/Damon.jpg,Damon,Cruise,incorrect,0.35256952900090255,b,9
0,5,incongruent,n,./images/Damon.jpg,Damon,Cruise,,-1,,1
1,5,congruent,n,./images/Damon.jpg,Damon,Damon,incorrect,0.2886359599942807,b,2
2,5,congruent,v,./images/Cruise.jpg,Cruise,Cruise,,-1,,3
3,5,congruent,b,./images/Clooney.jpg,Clooney,Clooney,correct,0.698948660021415,b,4
4,5,incongruent,b,./images/Clooney.jpg,Clooney,Damon,correct,0.3192099360167049,b,5
5,5,incongruent,v,./images/Cruise.jpg,Cruise,Clooney,incorrect,0.34147548000328243,b,6
6,5,incongruent,b,./images/Clooney.jpg,Clooney,Cruise,correct,0.3489562110044062,b,7
7,5,incongruent,n,./images/Damon.jpg,Damon,Clooney,incorrect,0.1080566460150294,b,8
8,5,incongruent,v,./images/Cruise.jpg,Cruise,Damon,incorrect,0.35256952900090255,b,9
